"Ano 1ยบ Sintoma(s)";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"<1975";21;18;20;20;17;21;22;22;20;12;20;12;225
"1975";-;-;1;-;-;-;1;1;-;1;2;2;8
"1976";1;2;-;3;1;-;-;-;-;1;-;-;8
"1977";1;1;-;1;2;1;1;1;1;1;-;1;11
"1978";-;-;2;2;1;1;3;-;-;-;3;2;14
"1979";1;1;-;2;2;1;2;-;2;2;-;-;13
"1980";-;-;2;-;1;-;-;2;-;1;1;-;7
"1981";-;-;-;1;1;-;-;1;2;-;1;2;8
"1982";1;2;1;2;-;2;1;-;1;1;-;1;12
"1983";2;2;1;-;2;1;-;2;2;3;1;2;18
"1984";1;1;-;-;3;1;2;-;-;1;-;2;11
"1985";1;1;-;-;-;-;-;-;1;-;-;1;4
"1986";2;2;1;1;-;-;2;2;-;3;-;1;14
"1987";1;1;2;1;1;1;2;-;-;2;-;2;13
"1988";-;2;-;2;1;1;-;-;-;-;-;2;8
"1989";1;-;4;4;3;1;2;2;1;-;1;1;20
"1990";1;2;2;1;2;-;-;3;1;-;1;4;17
"1991";-;-;4;-;-;1;-;-;1;1;-;-;7
"1992";1;2;3;-;2;1;1;-;2;-;-;-;12
"1993";2;1;1;3;-;2;2;2;1;1;4;1;20
"1994";-;3;1;-;2;1;1;1;1;2;1;-;13
"1995";1;2;2;2;2;2;1;1;3;-;1;2;19
"1996";2;1;4;1;6;2;5;-;2;2;2;2;29
"1997";2;2;1;4;1;2;1;1;1;-;-;2;17
"1998";1;5;3;1;3;1;3;1;1;-;1;2;22
"1999";-;3;2;-;2;1;3;2;1;-;1;1;16
"2000";5;13;22;27;9;4;2;3;2;4;1;1;93
"2001";3;5;9;21;6;1;1;-;-;2;-;1;49
"2002";3;4;5;2;2;-;1;1;-;1;-;3;22
"2003";2;-;12;1;3;3;-;-;1;3;2;1;28
"2004";-;-;4;15;4;2;4;1;1;-;3;2;36
"2005";2;3;8;14;13;4;-;3;1;1;1;-;50
"2006";2;3;8;7;9;3;1;1;-;1;3;1;39
"2007";31;13;30;22;3;4;3;1;9;39;120;1249;1524
"2008";15706;22452;66215;65666;20040;3189;1112;519;511;688;1085;1431;198614
"2009";1746;1758;1612;1035;693;387;233;77;65;46;207;404;8263
"2010";1295;1795;2981;4787;5977;2931;1767;1308;662;412;936;2166;27017
"2011";5243;15859;30487;50117;35242;9876;2935;1342;1313;1818;1797;2155;158184
"2012";8310;14420;32320;48107;41155;18039;5233;2932;1542;1347;1763;2983;178151
"2013";16403;34091;72374;58268;17944;4623;1475;695;520;587;731;759;208470
"Total";48794;90470;206144;228140;121155;39110;12822;6927;4671;4983;6689;11201;781106